province_id,owner_name
province_2434,Buyeo
province_1522,Buyeo
province_3416,Buyeo
province_5074,Buyeo
province_1520,Buyeo
province_4810,Buyeo
province_4813,Ethopia
province_6187,Buyeo
province_2669,Unknown29
province_0533,Buyeo
province_1009,Rome
province_5523,Buyeo
province_1553,Buyeo
province_2323,Buyeo
province_1786,Buyeo
province_0822,Rome
province_5068,Buyeo
province_2993,Rome
province_1498,Buyeo
province_3460,Buyeo
province_5519,Rome
province_4636,Buyeo
province_1758,Buyeo
province_2540,Buyeo
province_5975,Buyeo
province_6151,Rome
province_3681,Buyeo
province_1679,Buyeo
province_5192,Buyeo
province_2660,Buyeo
province_1008,Unknown29
province_2214,Rome
province_0033,Buyeo
province_2108,Buyeo
province_1667,Buyeo
province_1552,Satavahana
province_5793,Buyeo
province_4769,Buyeo
province_5525,Buyeo
province_1961,Buyeo
province_4348,Buyeo
province_1743,Buyeo
province_1926,Buyeo
province_6535,Unknown56
province_4976,Japan
province_1766,Buyeo
province_1014,Buyeo
province_5612,Unknown4
province_0680,Buyeo
province_3134,Buyeo
province_0312,Buyeo
province_6065,Buyeo
province_5771,Buyeo
province_6263,Buyeo
province_0883,Unknown55
province_4782,Buyeo
province_6483,Rome
province_3683,Buyeo
province_0946,Rome
province_6087,Buyeo
province_1080,Satavahana
province_5697,Buyeo
province_3557,Buyeo
province_2736,Buyeo
province_2598,Buyeo
province_3250,Buyeo
province_1020,Buyeo
province_2599,Unknown56
province_1128,Buyeo
province_1941,Buyeo
province_1906,Buyeo
province_5446,Rome
province_2492,Buyeo
province_2302,Buyeo
province_0070,Buyeo
province_3203,Rome
province_0010,Buyeo
province_1208,Buyeo
province_2860,Unknown9
province_4098,Buyeo
province_1139,Buyeo
province_3978,Satavahana
province_0163,Buyeo
province_2529,Eastern_Han_Empire
province_6348,Buyeo
province_5510,Buyeo
province_4242,Buyeo
province_0449,Unknown56
province_5962,Unknown4
province_2363,Unknown28
province_3158,Buyeo
province_5227,Buyeo
province_4490,Buyeo
province_2353,Buyeo
province_2823,Buyeo
province_6170,Unknown56
province_4290,Buyeo
province_1123,Buyeo
province_4130,Buyeo
province_4776,Buyeo
province_1058,Buyeo
province_2674,Buyeo
province_4485,Buyeo
province_4047,Rome
province_0408,Buyeo
province_0234,Rome
province_3148,Buyeo
province_0933,Unknown4
province_2193,Buyeo
