provinceID,x,y,province_r,province_g,province_b,owner_r,owner_g,owner_b,owner_name
province_0001,1007,254,0,239,151,159,163,165,Buyeo
province_0002,1479,1277,17,155,114,159,163,165,Buyeo
province_0003,1443,1301,20,92,155,159,163,165,Buyeo
province_0004,3949,1645,25,86,183,159,163,165,Buyeo
province_0005,1877,205,50,60,127,159,163,165,Buyeo
province_0006,2916,739,50,65,224,168,28,7,Rome
province_0007,2805,477,50,70,100,159,163,165,Buyeo
province_0008,2682,575,50,72,74,168,28,7,Rome
province_0009,1355,1174,50,72,179,159,163,165,Buyeo
province_0010,3993,706,50,77,250,145,188,180,Baekje
province_0011,3685,1062,50,91,121,159,163,165,Buyeo
province_0012,3255,711,50,96,146,65,190,187,Unknown4
province_0013,2817,452,50,98,120,159,163,165,Buyeo
province_0014,1508,1611,50,107,58,159,163,165,Buyeo
province_0015,2800,633,50,126,233,168,28,7,Rome
province_0016,1146,777,50,126,239,159,163,165,Buyeo
province_0017,1272,721,50,129,84,159,163,165,Buyeo
province_0018,3203,698,50,146,96,65,190,187,Unknown4
province_0019,2433,481,50,152,63,168,28,7,Rome
province_0020,2442,490,50,155,104,168,28,7,Rome
province_0021,3862,802,50,156,90,222,58,63,Eastern_Han_Empire
province_0022,3890,855,50,160,97,222,58,63,Eastern_Han_Empire
province_0023,1280,738,50,160,194,159,163,165,Buyeo
province_0024,3443,898,50,173,218,216,141,84,Satavahana
province_0025,1278,599,50,178,52,159,163,165,Buyeo
province_0026,2461,1153,50,178,93,159,163,165,Buyeo
province_0027,1508,1551,50,180,69,159,163,165,Buyeo
province_0028,2872,1134,50,189,181,159,163,165,Buyeo
province_0029,1315,723,50,192,141,159,163,165,Buyeo
province_0030,964,650,50,192,187,159,163,165,Buyeo
province_0031,2767,662,50,195,200,168,28,7,Rome
province_0032,2869,490,50,199,128,159,163,165,Buyeo
province_0033,2936,1447,50,206,128,159,163,165,Buyeo
province_0034,2961,194,50,208,97,159,163,165,Buyeo
province_0035,2755,832,50,210,154,168,28,7,Rome
province_0036,1419,569,50,219,237,159,163,165,Buyeo
province_0037,2904,1252,50,229,188,159,163,165,Buyeo
province_0038,2842,1276,50,231,97,159,163,165,Buyeo
province_0039,2840,1190,50,231,119,159,163,165,Buyeo
province_0040,3778,826,51,63,79,222,58,63,Eastern_Han_Empire
province_0041,1217,1192,51,66,229,159,163,165,Buyeo
province_0042,2845,714,51,70,252,168,28,7,Rome
province_0043,3796,621,51,73,233,222,58,63,Eastern_Han_Empire
province_0044,2351,1138,51,82,115,159,163,165,Buyeo
province_0045,2787,1309,51,82,176,159,163,165,Buyeo
province_0046,3886,1377,51,83,72,159,163,165,Buyeo
province_0047,3092,1584,51,94,130,159,163,165,Buyeo
province_0048,2773,1677,51,101,137,159,163,165,Buyeo
province_0049,2828,726,51,105,148,168,28,7,Rome
province_0050,2496,756,51,114,187,159,163,165,Buyeo
province_0051,3673,805,51,114,197,159,163,165,Buyeo
province_0052,2501,499,51,118,203,168,28,7,Rome
province_0053,1276,650,51,124,247,159,163,165,Buyeo
province_0054,3924,1182,51,127,244,159,163,165,Buyeo
province_0055,1304,935,51,148,83,159,163,165,Buyeo
province_0056,2251,604,51,152,53,168,28,7,Rome
province_0057,2919,626,51,157,203,168,28,7,Rome
province_0058,3634,380,51,159,136,159,163,165,Buyeo
province_0059,2780,1659,51,165,62,159,163,165,Buyeo
province_0060,2903,619,51,176,107,168,28,7,Rome
province_0061,4043,1388,51,179,189,159,163,165,Buyeo
province_0062,1512,1757,51,187,173,159,163,165,Buyeo
province_0063,2940,586,51,187,210,159,163,165,Buyeo
province_0064,4054,1693,51,207,196,159,163,165,Buyeo
province_0065,4096,703,51,208,121,255,255,0,Japan
province_0066,3514,649,51,209,120,159,163,165,Buyeo
province_0067,2928,739,51,216,230,168,28,7,Rome
province_0068,3359,820,51,218,153,65,190,187,Unknown4
province_0069,1573,1817,51,222,160,159,163,165,Buyeo
province_0070,1700,501,51,223,64,159,163,165,Buyeo
province_0071,2758,512,51,223,141,159,163,165,Buyeo
province_0072,3029,853,51,227,235,181,180,4,Gerrha
province_0073,4330,1364,51,235,104,159,163,165,Buyeo
province_0074,2283,417,51,240,191,159,163,165,Buyeo
province_0075,920,683,51,242,155,159,163,165,Buyeo
province_0076,4328,1318,51,247,132,159,163,165,Buyeo
province_0077,3774,434,51,251,52,159,163,165,Buyeo
province_0078,2602,434,52,71,176,159,163,165,Buyeo
province_0079,1576,1661,52,73,244,159,163,165,Buyeo
province_0080,2005,655,52,75,179,159,163,165,Buyeo
province_0081,3867,501,52,83,154,159,163,165,Buyeo
province_0082,3929,1767,52,92,217,159,163,165,Buyeo
province_0083,1360,645,52,96,107,159,163,165,Buyeo
province_0084,1170,691,52,96,222,159,163,165,Buyeo
province_0085,2789,829,52,107,83,168,28,7,Rome
province_0086,2598,500,52,110,77,159,163,165,Buyeo
province_0087,3106,769,52,112,245,242,175,109,Persia
province_0088,2480,428,52,120,75,159,163,165,Buyeo
province_0089,2912,942,52,120,248,159,163,165,Buyeo
province_0090,1068,976,52,124,245,159,163,165,Buyeo
province_0091,1317,548,52,127,195,159,163,165,Buyeo
province_0092,2627,1206,52,132,132,159,163,165,Buyeo
province_0093,2419,567,52,132,236,168,28,7,Rome
province_0094,3678,639,52,136,197,222,58,63,Eastern_Han_Empire
province_0095,1221,753,52,147,54,159,163,165,Buyeo
province_0096,3158,828,52,150,130,242,175,109,Persia
province_0097,4124,1768,52,152,233,159,163,165,Buyeo
province_0098,3469,794,52,157,175,159,163,165,Buyeo
province_0099,1634,1668,52,164,79,159,163,165,Buyeo
province_0100,2511,875,52,174,161,159,163,165,Buyeo
province_0101,1332,710,52,182,225,159,163,165,Buyeo
province_0102,952,1671,52,184,212,159,163,165,Buyeo
province_0103,3389,877,52,189,71,252,162,98,Unknown56
province_0104,3089,381,52,190,64,159,163,165,Buyeo
province_0105,961,812,52,198,245,159,163,165,Buyeo
province_0106,1302,1267,52,223,145,159,163,165,Buyeo
province_0107,3984,1275,52,245,94,159,163,165,Buyeo
province_0108,2418,506,52,247,176,168,28,7,Rome
province_0109,3244,674,53,57,110,65,190,187,Unknown4
province_0110,2665,527,53,58,95,168,28,7,Rome
province_0111,2623,422,53,76,79,159,163,165,Buyeo
province_0112,3309,891,53,78,143,125,125,195,Unknown14
province_0113,1123,708,53,78,216,159,163,165,Buyeo
province_0114,2746,434,53,82,90,159,163,165,Buyeo
province_0115,2263,653,53,91,95,168,28,7,Rome
province_0116,3452,1121,53,95,94,232,197,11,Lambakannas
province_0117,2959,665,53,96,131,255,197,140,Persia_Clients
