ARGB,ARGB_HEX,provinceId
4278251415,0xFF00EF97,province_0001
4279343986,0xFF119B72,province_0002
4279524507,0xFF145C9B,province_0003
4279850679,0xFF1956B7,province_0004
4281482367,0xFF323C7F,province_0005
4281483744,0xFF3241E0,province_0006
4281484900,0xFF324664,province_0007
4281485386,0xFF32484A,province_0008
4281485491,0xFF3248B3,province_0009
4281486842,0xFF324DFA,province_0010
4281490297,0xFF325B79,province_0011
4281491602,0xFF326092,province_0012
4281492088,0xFF326278,province_0013
4281494330,0xFF326B3A,province_0014
4281499369,0xFF327EE9,province_0015
4281499375,0xFF327EEF,province_0016
4281499988,0xFF328154,province_0017
4281504352,0xFF329260,province_0018
4281505855,0xFF32983F,province_0019
4281506664,0xFF329B68,province_0020
4281506906,0xFF329C5A,province_0021
4281507937,0xFF32A061,province_0022
4281508034,0xFF32A0C2,province_0023
4281511386,0xFF32ADDA,province_0024
4281512500,0xFF32B234,province_0025
4281512541,0xFF32B25D,province_0026
4281513029,0xFF32B445,province_0027
4281515445,0xFF32BDB5,province_0028
4281516173,0xFF32C08D,province_0029
4281516219,0xFF32C0BB,province_0030
4281517000,0xFF32C3C8,province_0031
4281517952,0xFF32C780,province_0032
4281519744,0xFF32CE80,province_0033
4281520225,0xFF32D061,province_0034
4281520794,0xFF32D29A,province_0035
4281523181,0xFF32DBED,province_0036
4281525692,0xFF32E5BC,province_0037
4281526113,0xFF32E761,province_0038
4281526135,0xFF32E777,province_0039
4281548623,0xFF333F4F,province_0040
4281549541,0xFF3342E5,province_0041
4281550588,0xFF3346FC,province_0042
4281551337,0xFF3349E9,province_0043
4281553523,0xFF335273,province_0044
4281553584,0xFF3352B0,province_0045
4281553736,0xFF335348,province_0046
4281556610,0xFF335E82,province_0047
4281558409,0xFF336589,province_0048
4281559444,0xFF336994,province_0049
4281561787,0xFF3372BB,province_0050
4281561797,0xFF3372C5,province_0051
4281562827,0xFF3376CB,province_0052
4281564407,0xFF337CF7,province_0053
4281565172,0xFF337FF4,province_0054
4281570387,0xFF339453,province_0055
4281571381,0xFF339835,province_0056
4281572811,0xFF339DCB,province_0057
4281573256,0xFF339F88,province_0058
4281574718,0xFF33A53E,province_0059
4281577579,0xFF33B06B,province_0060
4281578429,0xFF33B3BD,province_0061
4281580461,0xFF33BBAD,province_0062
4281580498,0xFF33BBD2,province_0063
4281585604,0xFF33CFC4,province_0064
4281585785,0xFF33D079,province_0065
4281586040,0xFF33D178,province_0066
4281587942,0xFF33D8E6,province_0067
4281588377,0xFF33DA99,province_0068
4281589408,0xFF33DEA0,province_0069
4281589568,0xFF33DF40,province_0070
4281589645,0xFF33DF8D,province_0071
4281590763,0xFF33E3EB,province_0072
4281592680,0xFF33EB68,province_0073
4281594047,0xFF33F0BF,province_0074
4281594523,0xFF33F29B,province_0075
4281595780,0xFF33F784,province_0076
4281596724,0xFF33FB34,province_0077
4281616304,0xFF3447B0,province_0078
4281616884,0xFF3449F4,province_0079
4281617331,0xFF344BB3,province_0080
4281619354,0xFF34539A,province_0081
4281621721,0xFF345CD9,province_0082
4281622635,0xFF34606B,province_0083
4281622750,0xFF3460DE,province_0084
4281625427,0xFF346B53,province_0085
4281626189,0xFF346E4D,province_0086
4281626869,0xFF3470F5,province_0087
